q,q|,10|
q,q|,10|
q,q|,10|
q v w,q|w|q v w|,1100|1010|1110|
q v w,q|w|q v w|,1100|1010|1110|
q v w,q|w|q v w|,1100|1010|1110|
q v w,q|w|q v w|,1100|1010|1110|
q v w,q|w|q v w|,1100|1010|1110|
c v r,c|r|c v r|,1100|1010|1110|
q,q|,10|
q v w,q|w|q v w|,1100|1010|1110|
q,q|,10|
q v w,q|w|q v w|,1100|1010|1110|
c v r,c|r|c v r|,1100|1010|1110|
q,q|,10|
c v r,c|r|c v r|,1100|1010|1110|
q v w,q|w|q v w|,1100|1010|1110|
p v q,p|q|p v q|,1100|1010|1110|
p v q,p|q|p v q|,1100|1010|1110|
w,w|,10|
p v q,p|q|p v q|,1100|1010|1110|
p v q,p|q|p v q|,1100|1010|1110|
p v q,p|q|p v q|,1100|1010|1110|
p v q,p|q|p v q|,1100|1010|1110|
p v q ^ (p -> w),p|q|w|p -> w|q ^ (p -> w)|p v q ^ (p -> w)|,11110000|11001100|10101010|10101111|10001100|11111100|
q v w,q|w|q v w|,1100|1010|1110|
q v w,q|w|q v w|,1100|1010|1110|
T,T|,11|
T  v F,T|F|T  v F|,1010|0000|1010|
T  v F,T|F|T  v F|,10|00|10|
T v F,T|F|T v F|,1|0|1|
T v F,T|F|T v F|,1|0|1|
F v T,F|T|F v T|,0|1|1|
T v F,T|F|T v F|,1|0|1|
T v c,T|c|T v c|,11|10|11|
T v F,T|F|T v F|,1111|0000|1111|
T v F,T|F|T v F|,1111|0000|1111|
